Model,Accuracy,Training Time (s)
GBM,0.9973333333333333,40.331692934036255
Random Forest,0.9973333333333333,1.5195720195770264
Decision Tree,0.9966666666666667,0.06682658195495605
MLP,0.9958333333333333,9.10285234451294
Logistic Regression,0.9925,0.9842710494995117
SVM,0.9923333333333333,3.169867753982544
